Second,Body Part,Anomalous Angle
0.0,arm_left,162.04151764443245
0.0,arm_left,175.34729558627444
0.0,arm_left,0.0133847890914855
1.0,arm_left,165.6374190275106
2.0,arm_left,169.32494368184527
2.0,arm_left,161.92846382117602
2.0,arm_left,0.0156103446074187
2.0,arm_left,0.0112571965324819
3.0,arm_left,0.0125934092467751
3.0,arm_left,0.0145029476213842
0.0,arm_right,0.0095228096584816
0.0,arm_right,0.0112571965324819
0.0,arm_right,0.0125934092467751
0.0,arm_right,0.0145029476213842
1.0,backpose_left,84.87547566018658
2.0,backpose_left,47.51293781934668
2.0,backpose_left,47.03787546233259
4.0,backpose_left,71.35933711202061
1.0,backpose_right,71.35933711202061
